id2,author,title,journal,year
2b6039c0-abdf-11e9-8262-04ea56df376a,[0],"[1793438, 1937089, 484279, 1937089, 84000, 1937089, 1082627, 1937089, 1015473, 1526247, 1937089, 533137, 543672]","[700772, 690717, 1937089, 610890, 1659540, 82429]",1985.0
2b62a9d2-abdf-11e9-97d3-04ea56df376a,[0],"[1399182, 1937089, 31773]","[0, 1305356, 528763]",1980.0
2b64b84c-abdf-11e9-866b-04ea56df376a,[0],"[1399182, 1937089, 1024982, 1414089, 1937089, 704172]","[0, 1305356]",1980.0
2b65f47e-abdf-11e9-8b96-04ea56df376a,"[0, 1024716, 1472207, 0, 172137, 1734998, 172137, 1472207, 1067520]","[0, 1937089, 432322, 1414089, 1937089, 1622345, 1082627, 0]",[0],1972.0
2b6690a8-abdf-11e9-ae86-04ea56df376a,"[0, 1522145, 940078, 140426, 0, 1937089, 0, 1004364, 310191, 375825, 140426, 49281, 321205]","[270145, 1937089, 1300113, 1937089, 0, 1937089, 751622]",[0],
2b67c89c-abdf-11e9-a545-04ea56df376a,"[0, 1522145, 940078, 140426, 0, 928182, 1743628, 1357174, 0, 1004364, 310191, 375825, 140426, 49281, 321205]","[270145, 1937089, 0, 1937089, 704172]","[1077347, 213528, 0]",
2b6900b0-abdf-11e9-94b9-04ea56df376a,"[1293641, 1091821, 1552438, 1162030, 734975, 567038, 140426, 1855875, 375825, 210843, 385391, 1116534, 678029, 567038, 1238212, 1424241]","[1532231, 1937089, 31773]","[0, 1091821, 1536197]",2009.0
2b699cc2-abdf-11e9-a108-04ea56df376a,"[1293641, 435326, 1481702, 1084250, 1889263, 567038, 140426, 165579, 375825, 266894, 21770, 1116534, 678029, 567038, 1100670, 622758]","[1532231, 1937089, 1648185, 1625755, 1937089, 1802799, 1937089, 995179, 1937089, 43680, 1937089, 1575106, 1937089, 1689778, 1937089, 1149565, 1648185, 1937089, 1483305, 1937089, 276282, 1082627]",[1091821],2009.0
2b6b7292-abdf-11e9-a004-04ea56df376a,"[1293641, 435326, 1481702, 1084250, 1889263, 567038, 140426, 165579, 375825, 266894, 21770, 1116534, 678029, 567038, 1100670, 622758]","[1532231, 1937089, 207513, 1937089, 1802799, 1937089, 1263024, 1937089, 43680, 1937089, 533137, 1937089, 1689778, 1937089, 1342013, 1937089, 1483305, 1937089, 1104243]",[1091821],2009.0
2b6cafa8-abdf-11e9-a429-04ea56df376a,"[1293641, 435326, 1481702, 1084250, 1889263, 567038, 140426, 165579, 375825, 266894, 21770, 1116534, 678029, 567038, 1100670, 622758]","[1532231, 1937089, 207513, 1937089, 1802799, 1937089, 1263024, 1937089, 43680, 1937089, 533137, 1937089, 1689778, 1937089, 1342013, 1937089, 1483305, 1937089, 1104243]","[1091821, 1897776, 1993990, 1908390, 1937089, 674100, 676303]",
2b6d7808-abdf-11e9-b9f6-04ea56df376a,"[739949, 0, 0, 875065, 0, 739949, 1225031, 0, 932227, 1630582, 0]",[31773],"[1209895, 1070335, 0, 0, 372039]",1926.0
