id2,author,title,journal,year
79f84d74-ac03-11e9-9265-04ea56df376a,"[378083, 279454, 5, 4330, 567136, 0]","[59258, 557351, 4, 148804, 0, 4, 3705]",[0],1985.0
79fa6eda-ac03-11e9-8235-04ea56df376a,"[0, 48717, 6, 41533, 0, 118730]","[268290, 4343, 1276]",[0],1980.0
79fc6952-ac03-11e9-8ebe-04ea56df376a,"[0, 48717, 6, 41533, 0, 118730, 539, 15, 104, 14, 10, 0]","[268290, 4343, 1276]",[0],1980.0
79fdeed4-ac03-11e9-a989-04ea56df376a,"[0, 0, 1096, 433, 0, 731, 703708, 731, 433, 0]","[0, 2702, 2574, 4, 2833, 745]",[0],1972.0
79ff2682-ac03-11e9-a24f-04ea56df376a,[0],"[592081, 0, 4, 9067, 1370, 4, 0, 100590, 8, 3, 0, 1, 0, 9958, 30718, 6, 3, 11277, 10082, 104, 411, 5096, 1637]",[0],
7a005e28-ac03-11e9-b058-04ea56df376a,"[100590, 8, 3, 0]","[592081, 1637, 4, 9067, 1370, 4, 0]",[0],
7a016ede-ac03-11e9-a681-04ea56df376a,"[0, 3601, 8843, 874, 11996, 4, 3, 15702, 6, 27906, 5930, 12, 1194741, 4, 409362, 0, 3601]","[5274, 17159, 1418]",[0],2009.0
7a02cd7e-ac03-11e9-abf5-04ea56df376a,"[22313, 1645, 1960, 181, 2682, 4, 3, 6751, 6, 6223, 3197, 12, 1194741, 4, 96740, 19692]","[5274, 1692, 2404, 4, 10142, 2537, 4, 657389, 80, 4, 18996, 1397, 1692, 4, 398668, 2426, 745]",[0],2009.0
7a03b740-ac03-11e9-aa22-04ea56df376a,"[22313, 1645, 1960, 181, 2682, 4, 3, 6751, 6, 6223, 3197, 12, 1194741, 4, 96740, 0, 3601]","[5274, 9399, 4, 10142, 2537, 4, 657389, 80, 4, 18996, 23996, 4, 398668, 9148]",[0],
7a04eee6-ac03-11e9-9fe4-04ea56df376a,"[22313, 1645, 1960, 181, 2682, 4, 3, 6751, 6, 6223, 3197, 12, 1194741, 4, 96740, 19692]","[5274, 9399, 4, 10142, 2537, 4, 657389, 80, 4, 18996, 23996, 4, 398668, 9148]",[0],2009.0
7a062694-ac03-11e9-8bca-04ea56df376a,"[0, 0, 0, 0, 67042, 0, 6582, 174810, 0, 487946, 17371, 0]",[0],[0],1926.0
7a075e3e-ac03-11e9-8667-04ea56df376a,"[6582, 0, 0, 10255, 0, 2087, 964581, 0, 487946, 7854, 0]","[2393, 0, 4, 108590]",[0],1926.0
7a0895e8-ac03-11e9-a074-04ea56df376a,"[0, 0, 0, 0, 67042, 0, 6582, 174810, 0, 487946, 17371, 0]",[0],[0],
7a09cd92-ac03-11e9-bd8f-04ea56df376a,"[0, 1, 0, 0, 0, 10255, 0, 2087, 964581, 0, 487946, 7854, 0, 1, 0, 23249]",[3586],[0],1926.0
7a0ab754-ac03-11e9-93a7-04ea56df376a,"[233075, 4595, 6, 78278, 2519, 15, 0, 14, 45713, 40378, 4, 3, 3966, 6, 59, 5797, 20, 43236, 15631, 64669]","[10732, 2519, 4, 26571, 1275, 4, 3030, 2366, 4, 32029, 24040, 4, 36342, 4249]",[0],
7a0c15f0-ac03-11e9-ad83-04ea56df376a,"[233075, 4595, 6, 78278, 2519, 15, 0, 14, 45713, 40378, 4, 3, 3966, 6, 59, 5797, 20, 43236, 15631, 64669]",[2519],[0],2011.0
7a0d26a6-ac03-11e9-9ce2-04ea56df376a,"[233075, 4595, 6, 78278, 2519, 15, 0, 14, 45713, 40378, 4, 3, 3966, 6, 59, 5797, 20, 43236, 15631, 64669]","[40285, 0, 4, 50311, 1327295, 4, 17235, 0, 4, 153437, 1, 976, 2537, 126604, 0]",[0],2011.0
7a0e5e52-ac03-11e9-9c5e-04ea56df376a,"[198215, 1, 0, 0, 21628, 0, 1, 446197, 1296655]","[1221439, 43026, 4, 33965, 22120]",[0],1959.0
7a0f6f08-ac03-11e9-b422-04ea56df376a,"[0, 0, 21628, 1864]","[1221439, 2054, 4, 198215, 1397, 1886]",[0],1959.0
7a10cda6-ac03-11e9-99ca-04ea56df376a,"[0, 0, 11115, 1864]","[1221439, 2054, 4, 198215, 1397, 1886]",[0],1959.0
