id2,author,title,journal,year
79f84d74-ac03-11e9-9265-04ea56df376a,"[362693, 275588, 5, 11412, 579027, 0]","[52163, 484140, 4, 141329, 0, 4, 8297]",[0],1985.0
79fa6eda-ac03-11e9-8235-04ea56df376a,"[0, 46568, 6, 49906, 0, 138962]","[227865, 5194, 1172]",[0],1980.0
79fc6952-ac03-11e9-8ebe-04ea56df376a,"[0, 46568, 6, 49906, 0, 138962, 870, 19, 130, 16, 17, 0]","[227865, 5194, 1172]",[0],1980.0
79fdeed4-ac03-11e9-a989-04ea56df376a,"[0, 0, 4450, 2951, 0, 6182, 558665, 6182, 2951, 0]","[0, 3755, 4238, 4, 6013, 934]",[0],1972.0
79ff2682-ac03-11e9-a24f-04ea56df376a,[0],"[543452, 0, 4, 8769, 1999, 4, 0, 100819, 8, 2, 0, 1, 0, 14137, 29400, 6, 2, 8752, 10771, 130, 762, 5062, 2385]",[0],
7a005e28-ac03-11e9-b058-04ea56df376a,"[100819, 8, 2, 0]","[543452, 2385, 4, 8769, 1999, 4, 0]",[0],
7a016ede-ac03-11e9-a681-04ea56df376a,"[0, 8103, 13096, 2408, 16052, 4, 2, 16524, 6, 34198, 13408, 10, 772968, 4, 591727, 0, 8103]","[7052, 16451, 2634]",[0],2009.0
7a02cd7e-ac03-11e9-abf5-04ea56df376a,"[31332, 2156, 1325, 207, 2249, 4, 2, 4461, 6, 4615, 3525, 10, 772968, 4, 108149, 14033]","[7052, 3361, 5782, 4, 11346, 2873, 4, 662017, 86, 4, 20829, 3584, 3361, 4, 415286, 5011, 934]",[0],2009.0
7a03b740-ac03-11e9-aa22-04ea56df376a,"[31332, 2156, 1325, 207, 2249, 4, 2, 4461, 6, 4615, 3525, 10, 772968, 4, 108149, 1629398, 8103]","[7052, 10203, 4, 11346, 2873, 4, 662017, 86, 4, 20829, 14648, 4, 415286, 11129]",[0],
7a04eee6-ac03-11e9-9fe4-04ea56df376a,"[31332, 2156, 1325, 207, 2249, 4, 2, 4461, 6, 4615, 3525, 10, 772968, 4, 108149, 14033]","[7052, 10203, 4, 11346, 2873, 4, 662017, 86, 4, 20829, 14648, 4, 415286, 11129]",[0],2009.0
7a062694-ac03-11e9-8bca-04ea56df376a,"[0, 0, 0, 0, 55999, 0, 8374, 202508, 0, 337194, 22741, 0]",[0],[0],1926.0
7a075e3e-ac03-11e9-8667-04ea56df376a,"[8374, 0, 0, 7633, 0, 1312, 623984, 0, 337194, 10748, 0]","[2988, 0, 4, 100433]",[0],1926.0
7a0895e8-ac03-11e9-a074-04ea56df376a,"[0, 0, 0, 0, 55999, 0, 8374, 202508, 0, 337194, 22741, 0]",[0],[0],
7a09cd92-ac03-11e9-bd8f-04ea56df376a,"[0, 1, 0, 0, 0, 7633, 0, 1312, 623984, 0, 337194, 10748, 0, 1, 0, 42127]",[3292],[0],1926.0
7a0ab754-ac03-11e9-93a7-04ea56df376a,"[205104, 3583, 6, 62473, 2289, 19, 0, 16, 43264, 22285, 4, 2, 3055, 6, 54, 4743, 15, 35374, 12164, 46616]","[11207, 2289, 4, 28334, 1940, 4, 5796, 2801, 4, 31130, 20941, 4, 32828, 5328]",[0],
7a0c15f0-ac03-11e9-ad83-04ea56df376a,"[205104, 3583, 6, 62473, 2289, 19, 0, 16, 43264, 22285, 4, 2, 3055, 6, 54, 4743, 15, 35374, 12164, 46616]",[2289],[0],2011.0
7a0d26a6-ac03-11e9-9ce2-04ea56df376a,"[205104, 3583, 6, 62473, 2289, 19, 0, 16, 43264, 22285, 4, 2, 3055, 6, 54, 4743, 15, 35374, 12164, 46616]","[30897, 0, 4, 35305, 805851, 4, 47024, 0, 4, 136975, 1, 1481, 2873, 156444, 0]",[0],2011.0
7a0e5e52-ac03-11e9-9c5e-04ea56df376a,"[163223, 1, 0, 0, 31636, 0, 1, 431330, 1793157]","[1031675, 42347, 4, 34697, 27477]",[0],1959.0
7a0f6f08-ac03-11e9-b422-04ea56df376a,"[0, 0, 31636, 1402]","[1031675, 2625, 4, 163223, 3584, 2557]",[0],1959.0
7a10cda6-ac03-11e9-99ca-04ea56df376a,"[0, 0, 8480, 1402]","[1031675, 2625, 4, 163223, 3584, 2557]",[0],1959.0
7a120552-ac03-11e9-a6cd-04ea56df376a,"[0, 3809, 91723, 29, 124816, 8165, 2, 23222, 80036, 72527, 6, 22372, 0]","[552749, 124757, 1, 113124, 4, 136120, 24628, 4, 1629796, 8063, 86, 4, 1054724, 1481, 2625, 4, 248909, 24264, 4, 29643, 2986, 86, 4, 259567]",[0],
7a131608-ac03-11e9-860f-04ea56df376a,"[19282, 3809, 22793, 29, 36512, 566, 2, 3065, 24741, 14071, 6, 9647, 15424]","[552749, 124757, 1, 999080, 1, 113124, 1, 1629796, 1, 24628, 1, 0, 1, 8063, 2395, 4, 248909, 1481, 6013, 4, 333326, 24264, 4, 259567, 2986, 2395]",[0],1995.0
7a1426ba-ac03-11e9-b962-04ea56df376a,"[979570, 978427, 677695]","[135341, 27661, 4, 33608, 43874, 4, 99214, 0, 4, 1592682, 86, 4, 55077, 934]",[0],
7a155e66-ac03-11e9-b097-04ea56df376a,"[979570, 978427, 677695]","[135341, 27661, 4, 33608, 43874, 4, 99214, 0, 4, 1592682, 86, 4, 55077, 934]",[0],1973.0
7a164826-ac03-11e9-87b9-04ea56df376a,"[0, 6, 0, 4, 10459, 6, 0]",[0],[0],
7a177fd2-ac03-11e9-a189-04ea56df376a,"[59378, 524680, 4450, 1108347, 135526, 17, 86, 86481, 65746]","[1043774, 2769, 4, 549525, 0, 2769, 4, 0, 2625, 4, 156179]",[0],1982.0
7a18b77a-ac03-11e9-a078-04ea56df376a,"[524680, 4450, 1108347, 135526, 17, 86, 86481, 0, 59734, 6, 2, 457, 3847]","[1043774, 3584, 1, 2769, 4, 549525, 0, 2625, 4, 0, 0, 4, 59378]",[0],1982.0
7a1a161c-ac03-11e9-bb32-04ea56df376a,"[0, 59378, 524680, 4450, 1108347, 135526, 17, 86, 86481, 0, 59734, 6, 2, 457, 3847]","[1043774, 3584, 1, 2769, 4, 549525, 0, 2625, 4, 0]",[0],1982.0
7a1b26d2-ac03-11e9-97f1-04ea56df376a,"[524680, 4450, 1108347, 135526, 17, 86, 86481, 0, 59734, 6, 2, 457, 3847]","[1043774, 3584, 1, 2769, 4, 549525, 0, 2625, 4, 0, 0, 4, 59378]",[0],1982.0
7a1c3786-ac03-11e9-bc0e-04ea56df376a,"[0, 13342, 17, 19, 3780, 16, 227499, 0, 27540, 0, 15982, 6, 34750, 3433, 19, 130, 16, 17, 0]","[838491, 154895]",[0],2003.0
7a1d6f34-ac03-11e9-8430-04ea56df376a,"[4, 16478, 8887, 1415034, 34323, 3453, 161, 1136]","[20821, 11925]",[0],
7a1e58f0-ac03-11e9-b757-04ea56df376a,"[0, 4, 16478, 8887, 0, 34323, 3453, 0]",[20821],[0],2010.0
7a21641c-ac03-11e9-99fa-04ea56df376a,"[0, 0, 214988, 4309, 9891, 17, 86, 154616, 915, 6, 2, 10485, 5131, 13742, 1796, 4, 54, 1087, 6998]","[7768, 6247, 86, 4, 202950, 643859]",[0],2015.0
7a22c2ba-ac03-11e9-a539-04ea56df376a,"[5569, 265, 16, 0, 1250889, 36629, 78400]","[0, 1147]",[0],2010.0
7a23fa64-ac03-11e9-bbc7-04ea56df376a,"[5569, 265, 16, 3, 1250889, 36629, 78400]","[471874, 24465, 1147]",[0],2010.0
7a253210-ac03-11e9-80b9-04ea56df376a,"[5569, 265, 16, 0, 1250889, 36629, 78400]","[0, 1147]",[0],2010.0
7a2669ba-ac03-11e9-8cf5-04ea56df376a,"[53518, 6670, 2959, 12436, 15, 643918, 11574, 207]","[0, 3815, 1, 730664, 1, 5181, 1, 685135, 1, 5626, 1147, 4, 943729, 6784, 6558]",[0],2013.0
7a277a6e-ac03-11e9-991c-04ea56df376a,"[2067, 14339, 4, 2, 2855, 56804]","[6774, 3879, 2625]",[0],1994.0
7a28d912-ac03-11e9-8411-04ea56df376a,"[2067, 14339, 4, 2, 2855, 56804]","[6774, 3879, 2625]",[0],1994.0
7a2a37b0-ac03-11e9-8282-04ea56df376a,"[85540, 0, 10748, 0, 10931, 0, 0]","[1395046, 934, 4, 1829477, 2557]",[0],1974.0
